date_id,city,country,continent,climate_zone,year,month,season,avg_temp,max_temp,min_temp,avg_humidity,total_precip,total_rain,total_snow,avg_wind,max_wind,avg_pressure,avg_cloud,avg_comfort,avg_radiation,extreme_events,rainy_hours
20150101,Amsterdam,Netherlands,Europe,Oceanic,2015,1,Winter,5.8,5.8,5.8,55.0,0.0,0.0,0.0,19.0,36.4,1023.3,48.0,42.4,814.9,0,0
20150101,Athens,Greece,Europe,Mediterranean,2015,1,Winter,-2.5,-2.5,-2.5,37.0,0.0,0.0,0.0,9.5,13.8,1018.6,30.0,24.8,487.7,0,0
20150101,Berlin,Germany,Europe,Oceanic,2015,1,Winter,3.0,7.3,1.0,88.32,0.0,0.0,0.0,9.71,26.0,1029.98,62.88,21.9,65.38,0,0
20150101,Chicago,USA,North America,Humid Continental,2015,1,Winter,-4.04,7.8,-7.4,51.28,0.0,0.0,0.0,15.99,34.7,1019.52,25.8,15.75,98.68,0,0
20150101,Delhi,India,Asia,Semi-Arid,2015,1,Winter,-2.5,-2.5,-2.5,72.0,0.2,0.0,0.2,3.8,6.7,1009.6,100.0,16.6,54.9,0,0
20150101,Dubai,UAE,Asia,Desert,2015,1,Winter,3.5,3.5,3.5,43.0,0.0,0.0,0.0,12.3,18.2,1018.3,66.0,41.4,282.1,0,0
20150101,Houston,USA,North America,Humid Subtropical,2015,1,Winter,7.05,12.2,6.4,74.96,1.3,1.3,0.0,9.07,26.7,1023.12,99.16,40.66,39.8,0,0
20150101,Istanbul,Turkey,Europe,Mediterranean,2015,1,Winter,0.1,0.1,0.1,47.0,0.0,0.0,0.0,16.9,29.9,1024.3,55.0,28.9,582.6,0,0
20150101,London,UK,Europe,Oceanic,2015,1,Winter,7.55,10.7,4.6,90.4,1.0,1.0,0.0,16.03,44.1,1027.54,96.96,31.44,31.86,0,0
20150101,Los Angeles,USA,North America,Mediterranean,2015,1,Winter,3.9,3.9,3.9,41.0,0.0,0.0,0.0,12.7,20.5,1013.1,99.0,42.3,81.3,0,0
20150101,Madrid,Spain,Europe,Mediterranean,2015,1,Winter,2.04,9.0,-3.1,66.52,0.0,0.0,0.0,3.28,13.1,1034.14,3.48,32.54,136.34,0,0
20150101,Mexico City,Mexico,North America,Subtropical Highland,2015,1,Winter,13.54,20.2,8.8,64.28,0.0,0.0,0.0,3.88,19.5,1017.84,53.16,66.75,232.66,0,0
20150101,Moscow,Russia,Asia,Subarctic,2015,1,Winter,11.9,11.9,11.9,54.0,0.0,0.0,0.0,8.9,15.7,1024.7,82.0,66.2,375.6,0,0
20150101,Mumbai,India,Asia,Tropical Monsoon,2015,1,Winter,4.9,4.9,4.9,44.0,0.0,0.0,0.0,11.2,17.0,1020.7,92.0,46.1,266.5,0,0
20150101,New York,USA,North America,Humid Continental,2015,1,Winter,-1.16,7.1,-4.4,44.6,0.0,0.0,0.0,10.65,26.8,1018.94,7.44,27.74,103.56,0,0
20150101,Oslo,Norway,Europe,Subarctic,2015,1,Winter,-0.5,-0.5,-0.5,36.0,0.0,0.0,0.0,20.6,31.4,1003.0,58.0,25.2,722.7,0,0
20150101,Paris,France,Europe,Oceanic,2015,1,Winter,-0.56,2.3,-3.2,92.96,0.0,0.0,0.0,5.47,19.0,1035.38,60.4,10.95,62.65,0,0
20150101,Phoenix,USA,North America,Desert,2015,1,Winter,3.22,7.3,-0.3,65.24,0.0,0.0,0.0,4.11,35.5,1020.45,38.48,36.04,123.52,0,0
20150101,Rome,Italy,Europe,Mediterranean,2015,1,Winter,2.3,2.3,2.3,32.0,0.0,0.0,0.0,9.0,15.8,1000.9,77.0,39.4,788.7,0,0
20150101,Stockholm,Sweden,Europe,Subarctic,2015,1,Winter,1.8,1.8,1.8,34.0,0.0,0.0,0.0,14.8,20.9,1003.7,45.0,35.0,756.7,0,0
20150101,Toronto,Canada,North America,Humid Continental,2015,1,Winter,-3.1,3.4,-5.7,61.08,0.0,0.0,0.0,16.38,38.7,1013.21,73.92,13.99,61.59,0,0
20150101,Vienna,Austria,Europe,Humid Continental,2015,1,Winter,-5.0,-5.0,-5.0,71.0,0.02,0.02,0.0,8.5,11.3,1005.4,30.0,7.2,735.5,0,0
20150101,Warsaw,Poland,Europe,Humid Continental,2015,1,Winter,-4.0,-4.0,-4.0,30.0,0.0,0.0,0.0,21.8,38.9,1014.2,74.0,14.1,803.4,0,0
20150101,Zurich,Switzerland,Europe,Oceanic,2015,1,Winter,6.2,6.2,6.2,49.0,0.0,0.0,0.0,11.1,17.1,1002.5,51.0,50.0,658.0,0,0
20150102,Auckland,New Zealand,Oceania,Oceanic,2015,1,Summer,9.9,9.9,9.9,10.0,0.0,0.0,0.0,8.2,13.2,1003.5,81.0,62.6,145.7,0,0
20150102,Bangalore,India,Asia,Tropical Savanna,2015,1,Winter,1.9,1.9,1.9,53.0,0.0,0.0,0.0,9.0,14.9,1022.7,53.0,36.7,0.0,0,0
20150102,Bangkok,Thailand,Asia,Tropical Savanna,2015,1,Winter,3.1,3.1,3.1,35.0,0.0,0.0,0.0,13.6,24.7,994.9,78.0,39.5,428.9,0,0
